sha256:2876956796648a65e395e717ccf176d045a41c9b28b943ca7b496fc8963626a9

PAL YM2612 frequency table

{ note: 0, hz: 8.175798915643707, fnum: 649, block: 0 }
{ note: 1, hz: 8.661957218027252, fnum: 688, block: 0 }
{ note: 2, hz: 9.177023997418988, fnum: 729, block: 0 }
{ note: 3, hz: 9.722718241315027, fnum: 772, block: 0 }
{ note: 4, hz: 10.300861153527183, fnum: 818, block: 0 }
{ note: 5, hz: 10.913382232281373, fnum: 867, block: 0 }
{ note: 6, hz: 11.562325709738577, fnum: 918, block: 0 }
{ note: 7, hz: 12.249857374429663, fnum: 973, block: 0 }
{ note: 8, hz: 12.978271799373287, fnum: 1031, block: 0 }
{ note: 9, hz: 13.75, fnum: 1092, block: 0 }
{ note: 10, hz: 14.567617547440307, fnum: 1157, block: 0 }
{ note: 11, hz: 15.433853164253883, fnum: 1226, block: 0 }
{ note: 12, hz: 16.351597831287414, fnum: 1299, block: 0 }
{ note: 13, hz: 17.323914436054505, fnum: 1376, block: 0 }
{ note: 14, hz: 18.354047994837977, fnum: 1458, block: 0 }
{ note: 15, hz: 19.445436482630054, fnum: 1545, block: 0 }
{ note: 16, hz: 20.601722307054366, fnum: 1637, block: 0 }
{ note: 17, hz: 21.826764464562746, fnum: 1734, block: 0 }
{ note: 18, hz: 23.124651419477154, fnum: 1837, block: 0 }
{ note: 19, hz: 24.499714748859326, fnum: 1946, block: 0 }
{ note: 20, hz: 25.956543598746574, fnum: 1031, block: 1 }
{ note: 21, hz: 27.5, fnum: 1092, block: 1 }
{ note: 22, hz: 29.13523509488062, fnum: 1157, block: 1 }
{ note: 23, hz: 30.86770632850775, fnum: 1226, block: 1 }
{ note: 24, hz: 32.70319566257483, fnum: 1299, block: 1 }
{ note: 25, hz: 34.64782887210902, fnum: 1376, block: 1 }
{ note: 26, hz: 36.70809598967594, fnum: 1458, block: 1 }
{ note: 27, hz: 38.89087296526011, fnum: 1545, block: 1 }
{ note: 28, hz: 41.20344461410874, fnum: 1637, block: 1 }
{ note: 29, hz: 43.653528929125486, fnum: 1734, block: 1 }
{ note: 30, hz: 46.24930283895431, fnum: 1837, block: 1 }
{ note: 31, hz: 48.999429497718666, fnum: 1946, block: 1 }
{ note: 32, hz: 51.91308719749314, fnum: 1031, block: 2 }
{ note: 33, hz: 55, fnum: 1092, block: 2 }
{ note: 34, hz: 58.27047018976124, fnum: 1157, block: 2 }
{ note: 35, hz: 61.7354126570155, fnum: 1226, block: 2 }
